Paper title,Paper link,Year of publishing,Number of citations,Keywords,Relevant for study,Duplicate,Reviewer,Applicable/Non Applicable,Reason for choosing/ not choosing the research paper
A performance study of optane persistent memory: from storage data structures' perspective,https://link.springer.com/article/10.1007/s42514-022-00123-x,2022.0,6,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
A performance study of optane persistent memory: From indexing data structures' perspective,https://msstconference.org/MSST-history/2020/Papers/02.APerformanceStudyOptane.pdf,2020.0,3,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Energy consumption evaluation of optane dc persistent memory for indexing data structures,https://ieeexplore.ieee.org/abstract/document/10106332/,2022.0,7,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Understanding and improving persistent transactions on optane™ DC memory,https://ieeexplore.ieee.org/abstract/document/9139799/,2020.0,14,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Towards an unwritten contract of intel optane {SSD},https://www.usenix.org/conference/hotstorage19/presentation/wu-kan,2019.0,92,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Single machine graph analytics on massive datasets using intel optane dc persistent memory,https://arxiv.org/abs/1904.07162,2019.0,104,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Exploiting intel optane persistent memory for full text search,https://dl.acm.org/doi/abs/10.1145/3459898.3463906,2021.0,14,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Basic performance measurements of the intel optane DC persistent memory module,https://arxiv.org/abs/1903.05714,2019.0,627,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Revisiting persistent indexing structures on Intel Optane DC persistent memory,https://link.springer.com/article/10.1007/s11390-020-9871-0,2021.0,8,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Persistent memory research in the post-optane era,https://dl.acm.org/doi/abs/10.1145/3609308.3625268,2023.0,22,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
A read-efficient and write-optimized hash table for Intel Optane DC Persistent Memory,https://www.sciencedirect.com/science/article/pii/S0167739X24003297,2024.0,1,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
System evaluation of the intel optane byte-addressable nvm,https://dl.acm.org/doi/abs/10.1145/3357526.3357568,2019.0,166,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Storage Technology Current Trends-Optane and It's Future Implications,https://ieeexplore.ieee.org/abstract/document/8978386/,2019.0,0,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Characterizing the performance of intel optane persistent memory: A close look at its on-dimm buffering,https://dl.acm.org/doi/abs/10.1145/3492321.3519556,2022.0,65,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Writes hurt: Lessons in cache design for optane nvram,https://dl.acm.org/doi/abs/10.1145/3542929.3563461,2022.0,8,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Performance characterization of a dram-nvm hybrid memory architecture for hpc applications using intel optane dc persistent memory modules,https://dl.acm.org/doi/abs/10.1145/3357526.3357541,2019.0,81,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Exploiting intel optane ssd for microsoft sql server,https://dl.acm.org/doi/abs/10.1145/3329785.3329916,2019.0,23,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Early evaluation of intel optane non-volatile memory with hpc i/o workloads,https://arxiv.org/abs/1708.02199,2017.0,34,"""Optane"" ""Data+Structure""",No,not duplicate,,,
Spmfs: A scalable persistent memory file system on optane persistent memory,https://dl.acm.org/doi/abs/10.1145/3472456.3472503,2021.0,10,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
NVM in Data Storage: A Post-Optane Future,https://dl.acm.org/doi/abs/10.1145/3731454,2025.0,0,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
A scalable recoverable skip list for persistent memory,https://dl.acm.org/doi/abs/10.1145/3409964.3461819,2021.0,9,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
OPTANE: an optimal transport algorithm for network alignment,https://dl.acm.org/doi/abs/10.1145/3341161.3342937,2019.0,4,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
"NVTraverse: in NVRAM data structures, the destination is more important than the journey",https://dl.acm.org/doi/abs/10.1145/3385412.3386031,2020.0,82,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Gordon: Benchmarking optane dc persistent memory modules on fpgas,https://ieeexplore.ieee.org/abstract/document/9444052/,2021.0,12,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
An early evaluation of Intel's optane DC persistent memory module and its impact on high-performance scientific applications,https://dl.acm.org/doi/abs/10.1145/3295500.3356159,2019.0,93,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
An empirical evaluation of nvm-aware file systems on intel optane dc persistent memory modules,https://www.mdpi.com/2079-9292/10/16/1977,2021.0,13,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Memory management methodology for application data structure refinement and placement on heterogeneous DRAM/NVM systems,https://ieeexplore.ieee.org/abstract/document/9774666/,2022.0,7,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Mirror: making lock-free data structures persistent,https://dl.acm.org/doi/abs/10.1145/3453483.3454105,2021.0,47,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Brief announcement: Towards a theory of wear leveling in persistent data structures,https://dl.acm.org/doi/abs/10.1145/3519270.3538457,2022.0,1,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Don't Persist All: Efficient Persistent Data Structures,https://arxiv.org/abs/1905.13011,1905.0,9,"""Optane"" ""Data+Structure""",No,not duplicate,,,
BPTree: An optimized index with batch persistence on optane DC PM,https://link.springer.com/chapter/10.1007/978-3-030-73200-4_32,2021.0,6,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
{Side-Channel} Attacks on Optane Persistent Memory,https://www.usenix.org/conference/usenixsecurity23/presentation/liu-sihang,2023.0,23,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
MOD: Minimally ordered durable datastructures for persistent memory,https://dl.acm.org/doi/abs/10.1145/3373376.3378472,2020.0,82,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Atmem: Adaptive data placement in graph applications on heterogeneous memories,https://dl.acm.org/doi/abs/10.1145/3368826.3377922,2020.0,41,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Metall: A persistent memory allocator enabling graph processing,https://ieeexplore.ieee.org/abstract/document/8945094/,2019.0,14,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Intel optane dcpmm and serverless computing,https://arxiv.org/abs/2109.11021,2021.0,3,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
"Performance, Energy and NVM Lifetime-Aware Data Structure Refinement and Placement for Heterogeneous Memory Systems",https://dl.acm.org/doi/abs/10.1145/3736174,2023.0,0,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Large-scale in-memory analytics on Intel® Optane™ DC persistent memory,https://dl.acm.org/doi/abs/10.1145/3399666.3399933,2020.0,45,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Data structure primitives on persistent memory: an evaluation,https://dl.acm.org/doi/abs/10.1145/3399666.3399900,2020.0,23,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
A comprehensive empirical study of file systems on optane persistent memory,https://ieeexplore.ieee.org/abstract/document/9605448/,2021.0,2,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Hemem: Scalable tiered memory management for big data applications and real nvm,https://dl.acm.org/doi/abs/10.1145/3477132.3483550,2021.0,131,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
PnP: Rethinking Page Placement and Persistence Mechanisms to Support the new Intel Optane DC Persistent Memory,https://www.dpss.inesc-id.pt/~jpbarreto/data/uploads/thesis/miguel-marques-midterm.pdf,,0,"""Optane"" ""Data+Structure""",No,not duplicate,,,
Evaluating the latest Optane memory: A glorious swansong?,https://www.research.ed.ac.uk/en/publications/evaluating-the-latest-optane-memory-a-glorious-swansong,2023.0,0,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
PHPRX: An Efficient Hash Table for Persistent Memory,https://dl.acm.org/doi/abs/10.1145/3409964.3461820,2021.0,2,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Understand the overheads of storage data structures on persistent memory,https://dl.acm.org/doi/abs/10.1145/3332466.3374509,2020.0,2,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Chameleondb: a key-value store for optane persistent memory,https://dl.acm.org/doi/abs/10.1145/3447786.3456237,2021.0,96,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
DGAP: Efficient dynamic graph analysis on persistent memory,https://dl.acm.org/doi/abs/10.1145/3581784.3607106,2023.0,9,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Rethinking key-value store for byte-addressable optane persistent memory,https://dl.acm.org/doi/abs/10.1145/3489517.3530535,2022.0,3,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Characterizing and modeling non-volatile memory systems,https://ieeexplore.ieee.org/abstract/document/9251957/,2020.0,125,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Performance Analytics of Graph Algorithms Using Intel Optane DC Persistent Memory,https://search.proquest.com/openview/59840d772290d600c1b8a7f566c93e15/1?pq-origsite=gscholar&cbl=18750&diss=y,2021.0,0,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Characterizing the Performance of Intel Optane Persistent Memory,https://ranger.uta.edu/~sjiang/pubs/papers/xiang22-Pmem.pdf,2022.0,0,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Performance benefits of Intel® Optane™ DC persistent memory for the parallel processing of large neuroimaging data,https://ieeexplore.ieee.org/abstract/document/9139615/,2020.0,3,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Technical Perspective: Scaling Dynamic Hash Tables on Real Persistent Memory,https://dl.acm.org/doi/abs/10.1145/3471485.3471505,2021.0,0,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
EA-PHT-HPR: Designing Scalable Data Structures for Persistent Memory,https://uwspace.uwaterloo.ca/handle/10012/16193,2020.0,0,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Pronto: Easy and fast persistence for volatile data structures,https://dl.acm.org/doi/abs/10.1145/3373376.3378456,2020.0,76,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
PM-Rtree: A highly-efficient crash-consistent r-tree for persistent memory,https://dl.acm.org/doi/abs/10.1145/3538712.3538713,2022.0,7,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Detectable data structures for persistent memory,https://uwspace.uwaterloo.ca/handle/10012/16986,2021.0,1,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
4.6 Non-volatile Memory in Database Systems,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume11/issue06/21283/DagRep.11.6.38/DagRep.11.6.38.pdf#page=13,,0,"""Optane"" ""Data+Structure""",No,not duplicate,,,
A large scale graph processing using Low Latency Optane SSD,https://www.researchgate.net/profile/Muhammad-Umair-18/publication/334049910_A_large_scale_graph_processing_using_Low_Latency_Optane_SSD/links/5f3a771f92851cd302fe1e55/A-large-scale-graph-processing-using-Low-Latency-Optane-SSD.pdf,2019.0,0,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Durability Through NVM Checkpointing,http://nvmw.ucsd.edu/nvmw2021-program/nvmw2021-data/nvmw2021-paper17-final_version_your_extended_abstract.pdf,,0,"""Optane"" ""Data+Structure""",No,not duplicate,,,
GBTL+ Metall–Adding Persistence to GraphBLAS,http://nvmw.ucsd.edu/nvmw2021-program/nvmw2021-data/nvmw2021-paper61-final_version_your_extended_abstract.pdf,,0,"""Optane"" ""Data+Structure""",No,not duplicate,,,
Athena: High-performance sparse tensor contraction sequence on heterogeneous memory,https://dl.acm.org/doi/abs/10.1145/3447818.3460355,2021.0,26,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Rethinking the Performance/Cost of Persistent Memory and SSDs,http://nvmw.ucsd.edu/nvmw2022-program/nvmw2022-data/nvmw2022-final51.pdf,,0,"""Optane"" ""Data+Structure""",No,not duplicate,,,
Revisiting persistent hash table design for commercial non-volatile memory,https://ieeexplore.ieee.org/abstract/document/9116223/,2020.0,12,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Heterogeneous Memory Allocation Scheme for Batch Jobs with Intel Optane DC Persistent Memory and DRAM,https://ieeexplore.ieee.org/abstract/document/10179506/,2023.0,0,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
AutoPersist: an easy-to-use Java NVM framework based on reachability,https://dl.acm.org/doi/abs/10.1145/3314221.3314608,2019.0,56,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Plush: A write-optimized persistent log-structured hash-table,https://dl.acm.org/doi/abs/10.14778/3551793.3551839,2022.0,27,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
SSDs Striking Back: The Storage Jungle and Its Implications to Persistent Indexes.,https://www.cs.sfu.ca/~tzwang/modern-storage-index.pdf,2022.0,25,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Next generation storage: Non-Volatile Memory,https://www.neliti.com/publications/333010/next-generation-storage-non-volatile-memory,2024.0,0,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
DAOS Beyond Persistent Memory: Architecture and Initial Performance Results,https://link.springer.com/chapter/10.1007/978-3-031-40843-4_26,2023.0,2,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
A case against hardware managed dram caches for nvram based systems,https://ieeexplore.ieee.org/abstract/document/9408179/,2021.0,23,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Platform storage performance with 3D XPoint technology,https://ieeexplore.ieee.org/abstract/document/8003284/,2017.0,302,"""Optane"" ""Data+Structure""",No,not duplicate,,,
A Sorted and Dynamic Graph Storage System of the Hybrid Memory Architecture,https://ieeexplore.ieee.org/abstract/document/10885326/,2024.0,0,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
[C] Efficient Migrations Between Storage Tiers with PrismDB,,,0,"""Optane"" ""Data+Structure""",No,not duplicate,,,
Detectable recovery of lock-free data structures,https://dl.acm.org/doi/abs/10.1145/3503221.3508444,2022.0,21,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
BaM: A case for enabling fine-grain high throughput GPU-orchestrated access to storage,https://www.academia.edu/download/114662378/2203.04910v2.pdf,2022.0,12,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Building Fast Recoverable Persistent Data Structures,https://anon.cs.rochester.edu/u/scott/papers/2021_Wen_NVMW_Montage.pdf,,0,"""Optane"" ""Data+Structure""",No,not duplicate,,,
[C] POSTER: Understand the Overheads of Storage Data Structures on Persistent Memory,,2020.0,0,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
Asymnvm: An efficient framework for implementing persistent data structures on asymmetric nvm architecture,https://dl.acm.org/doi/abs/10.1145/3373376.3378511,2020.0,63,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
"A fast, general system for buffered persistent data structures",https://dl.acm.org/doi/abs/10.1145/3472456.3472458,2021.0,23,"""Optane"" ""Data+Structure""",Yes,not duplicate,,,
