Paper title,Paper link,Year of publishing,Number of citations,Keywords,Relevant for study,Duplicate,Reviewer,Applicable/Non Applicable,Reason for choosing/ not choosing the research paper
Large-scale in-memory analytics on Intel® Optane™ DC persistent memory,https://dl.acm.org/doi/abs/10.1145/3399666.3399933,2020,45,"""Optane"" ""Database""",Yes,,,,
Exploiting intel optane persistent memory for full text search,https://dl.acm.org/doi/abs/10.1145/3459898.3463906,2021,14,"""Optane"" ""Database""",Yes,,,,
Exploring performance characteristics of the optane 3d xpoint storage technology,https://dl.acm.org/doi/abs/10.1145/3372783,2020,48,"""Optane"" ""Database""",Yes,,,,
Lessons learned from the early performance evaluation of Intel optane DC persistent memory in DBMS,https://dl.acm.org/doi/abs/10.1145/3399666.3399898,2020,46,"""Optane"" ""Database""",Yes,,,,
Baidu Feed Stream Services Restructures Its In-Memory Database with Intel® Optane™ Technology,https://www.intel.com/content/dam/www/public/us/en/documents/case-studies/baidu-feed-case-study.pdf,2020,3,"""Optane"" ""Database""",Yes,,,,
Reducing relational database performance bottlenecks using 3D XPoint storage technology,https://ieeexplore.ieee.org/abstract/document/8456140/,2018,12,"""Optane"" ""Database""",No,,,,
Writes hurt: Lessons in cache design for optane nvram,https://dl.acm.org/doi/abs/10.1145/3542929.3563461,2022,8,"""Optane"" ""Database""",Yes,,,,
Single machine graph analytics on massive datasets using intel optane dc persistent memory,https://arxiv.org/abs/1904.07162,2019,104,"""Optane"" ""Database""",Yes,,,,
BPTree: An optimized index with batch persistence on optane DC PM,https://link.springer.com/chapter/10.1007/978-3-030-73200-4_32,2021,6,"""Optane"" ""Database""",Yes,,,,
Performance characterization of a dram-nvm hybrid memory architecture for hpc applications using intel optane dc persistent memory modules,https://dl.acm.org/doi/abs/10.1145/3357526.3357541,2019,81,"""Optane"" ""Database""",Yes,,,,
PerMA-bench: benchmarking persistent memory access,https://dl.acm.org/doi/abs/10.14778/3551793.3551807,2022,26,"""Optane"" ""Database""",Yes,,,,
An empirical evaluation of nvm-aware file systems on intel optane dc persistent memory modules,https://www.mdpi.com/2079-9292/10/16/1977,2021,13,"""Optane"" ""Database""",Yes,,,,
Energy consumption evaluation of optane dc persistent memory for indexing data structures,https://ieeexplore.ieee.org/abstract/document/10106332/,2022,7,"""Optane"" ""Database""",Yes,,,,
Exploiting intel optane ssd for microsoft sql server,https://dl.acm.org/doi/abs/10.1145/3329785.3329916,2019,23,"""Optane"" ""Database""",Yes,,,,
Tair-PMem: a fully durable non-volatile memory database,https://dl.acm.org/doi/abs/10.14778/3554821.3554827,2022,17,"""Optane"" ""Database""",Yes,,,,
Performance evaluation of intel optane memory for managed workloads,https://dl.acm.org/doi/abs/10.1145/3451342,2021,28,"""Optane"" ""Database""",Yes,,,,
Basic performance measurements of the intel optane DC persistent memory module,https://arxiv.org/abs/1903.05714,2019,627,"""Optane"" ""Database""",Yes,,,,
An Empirical Performance Evaluation of Multiple Intel Optane Solid-State Drives,https://www.mdpi.com/2079-9292/10/11/1325,2021,0,"""Optane"" ""Database""",Yes,,,,
4.6 Non-volatile Memory in Database Systems,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume11/issue06/21283/DagRep.11.6.38/DagRep.11.6.38.pdf#page=13,,0,"""Optane"" ""Database""",No,,,,
NVM in Data Storage: A Post-Optane Future,https://dl.acm.org/doi/abs/10.1145/3731454,2025,0,"""Optane"" ""Database""",Yes,,,,
Performance analysis of 3D XPoint SSDs in virtualized and non-virtualized environments,https://ieeexplore.ieee.org/abstract/document/8644859/,2018,19,"""Optane"" ""Database""",No,,,,
Early Experience of Utilizing Persistent Memory for Database Bulk Loading,http://157.82.157.21/new/uploads/publication_file/file/981/FAST_22_WiP_PM_for_Bulkload.pdf,,0,"""Optane"" ""Database""",No,,,,
Thread-specific Database Buffer Management in Multi-core NVM Storage Environments,http://nvmw.ucsd.edu/nvmw2021-program/nvmw2021-data/nvmw2021-paper5-final_version_your_extended_abstract.pdf,,0,"""Optane"" ""Database""",No,,,,
How to use persistent memory in your database,https://arxiv.org/abs/2112.00425,2021,10,"""Optane"" ""Database""",Yes,,,,
NF-Log: Revisiting Log Writes in Relational Database for Efficient Persistent Memory Utilization,https://dl.acm.org/doi/abs/10.1145/3555776.3577733,2023,0,"""Optane"" ""Database""",Yes,,,,
[CITATION] BOPL: Batch Optimized Persistent List,,2019,0,"""Optane"" ""Database""",Yes,,,,
An early evaluation of Intel's optane DC persistent memory module and its impact on high-performance scientific applications,https://dl.acm.org/doi/abs/10.1145/3295500.3356159,2019,93,"""Optane"" ""Database""",Yes,,,,
Designing a persistent-memory-native storage engine for SQL database systems,https://ieeexplore.ieee.org/abstract/document/9628842/,2021,1,"""Optane"" ""Database""",Yes,,,,
Improving database performance by leveraging network-assisted logging,https://www.sciencedirect.com/science/article/pii/S0167739X25000809,2025,0,"""Optane"" ""Database""",Yes,,,,
[CITATION] Efficient state management with persistent memory,,2024,2,"""Optane"" ""Database""",Yes,,,,
Optimizing in-memory database engine for AI-powered on-line decision augmentation using persistent memory,https://dl.acm.org/doi/abs/10.14778/3446095.3446102,2021,30,"""Optane"" ""Database""",Yes,,,,
Architecting Heterogeneous Memory Systems with DRAM Technology Only: A Case Study on Relational Database,https://ieeexplore.ieee.org/abstract/document/9307020/,2020,1,"""Optane"" ""Database""",Yes,,,,
NVMulator: A configurable open-source non-volatile memory emulator for FPGAs,https://link.springer.com/chapter/10.1007/978-3-031-42921-7_3,2023,2,"""Optane"" ""Database""",Yes,,,,
Disaggregated database systems,https://dl.acm.org/doi/abs/10.1145/3555041.3589403,2023,20,"""Optane"" ""Database""",Yes,,,,
A NUMA-aware Graph Database for Hybrid Memory System,https://ieeexplore.ieee.org/abstract/document/10491661/,2023,1,"""Optane"" ""Database""",Yes,,,,
X-SSD: A storage system with native support for database logging and replication,https://dl.acm.org/doi/abs/10.1145/3514221.3526188,2022,22,"""Optane"" ""Database""",Yes,,,,
Persistent memory I/O primitives,https://dl.acm.org/doi/abs/10.1145/3329785.3329930,2019,126,"""Optane"" ""Database""",Yes,,,,
