Paper title,Paper link,Year of publishing,Number of citations,Keywords,Relevant for study,Duplicate,Reviewer,Applicable/Non Applicable,Reason for choosing/ not choosing the research paper
Basic performance measurements of the intel optane DC persistent memory module,https://arxiv.org/abs/1903.05714,2019,627,"""Optane"" ""File+System""",Yes,,,,
Spmfs: A scalable persistent memory file system on optane persistent memory,https://dl.acm.org/doi/abs/10.1145/3472456.3472503,2021,10,"""Optane"" ""File+System""",Yes,,,,
A comprehensive empirical study of file systems on optane persistent memory,https://ieeexplore.ieee.org/abstract/document/9605448/,2021,2,"""Optane"" ""File+System""",Yes,,,,
Unexpected performance of Intel® Optane™ DC persistent memory,https://ieeexplore.ieee.org/abstract/document/9072482/,2020,34,"""Optane"" ""File+System""",Yes,,,,
Storage Technology Current Trends-Optane and It's Future Implications,https://ieeexplore.ieee.org/abstract/document/8978386/,2019,0,"""Optane"" ""File+System""",Yes,,,,
An empirical evaluation of nvm-aware file systems on intel optane dc persistent memory modules,https://www.mdpi.com/2079-9292/10/16/1977,2021,13,"""Optane"" ""File+System""",Yes,,,,
Early evaluation of intel optane non-volatile memory with hpc i/o workloads,https://arxiv.org/abs/1708.02199,2017,34,"""Optane"" ""File+System""",No,,,,
Towards an unwritten contract of intel optane {SSD},https://www.usenix.org/conference/hotstorage19/presentation/wu-kan,2019,92,"""Optane"" ""File+System""",Yes,,,,
Exploiting intel optane persistent memory for full text search,https://dl.acm.org/doi/abs/10.1145/3459898.3463906,2021,14,"""Optane"" ""File+System""",Yes,,,,
Persistent memory research in the post-optane era,https://dl.acm.org/doi/abs/10.1145/3609308.3625268,2023,22,"""Optane"" ""File+System""",Yes,,,,
Exploring performance characteristics of the optane 3d xpoint storage technology,https://dl.acm.org/doi/abs/10.1145/3372783,2020,48,"""Optane"" ""File+System""",Yes,,,,
Lessons learned from the early performance evaluation of Intel optane DC persistent memory in DBMS,https://dl.acm.org/doi/abs/10.1145/3399666.3399898,2020,46,"""Optane"" ""File+System""",Yes,,,,
GPU4FS: A Graphics Processor-Accelerated File System,https://os.itec.kit.edu/downloads/2022_MA_Maucher_GPU4FS.pdf,2022,1,"""Optane"" ""File+System""",Yes,,,,
System evaluation of the intel optane byte-addressable nvm,https://dl.acm.org/doi/abs/10.1145/3357526.3357568,2019,166,"""Optane"" ""File+System""",Yes,,,,
Thoughts on Merging the File System and Virtual Memory System,https://www.memsys.io/wp-content/uploads/2023/09/31.pdf,,0,"""Optane"" ""File+System""",No,,,,
Writes hurt: Lessons in cache design for optane nvram,https://dl.acm.org/doi/abs/10.1145/3542929.3563461,2022,8,"""Optane"" ""File+System""",Yes,,,,
An early evaluation of Intel's optane DC persistent memory module and its impact on high-performance scientific applications,https://dl.acm.org/doi/abs/10.1145/3295500.3356159,2019,93,"""Optane"" ""File+System""",Yes,,,,
A case study of migrating RocksDB on Intel optane persistent memory,https://ieeexplore.ieee.org/abstract/document/9605438/,2021,3,"""Optane"" ""File+System""",Yes,,,,
SplitFS: Reducing software overhead in file systems for persistent memory,https://dl.acm.org/doi/abs/10.1145/3341301.3359631,2019,262,"""Optane"" ""File+System""",Yes,,,,
{Side-Channel} Attacks on Optane Persistent Memory,https://www.usenix.org/conference/usenixsecurity23/presentation/liu-sihang,2023,23,"""Optane"" ""File+System""",Yes,,,,
Gordon: Benchmarking optane dc persistent memory modules on fpgas,https://ieeexplore.ieee.org/abstract/document/9444052/,2021,12,"""Optane"" ""File+System""",Yes,,,,
Understanding and improving persistent transactions on optane™ DC memory,https://ieeexplore.ieee.org/abstract/document/9139799/,2020,14,"""Optane"" ""File+System""",Yes,,,,
Performance evaluation of intel optane memory for managed workloads,https://dl.acm.org/doi/abs/10.1145/3451342,2021,28,"""Optane"" ""File+System""",Yes,,,,
Single machine graph analytics on massive datasets using intel optane dc persistent memory,https://arxiv.org/abs/1904.07162,2019,104,"""Optane"" ""File+System""",Yes,,,,
An empirical study of hybrid ssd with optane and qlc flash,https://ieeexplore.ieee.org/abstract/document/9283520/,2020,7,"""Optane"" ""File+System""",Yes,,,,
Performance characterization of a dram-nvm hybrid memory architecture for hpc applications using intel optane dc persistent memory modules,https://dl.acm.org/doi/abs/10.1145/3357526.3357541,2019,81,"""Optane"" ""File+System""",Yes,,,,
Performance evaluation of the intel optane dc memory with scientific benchmarks,https://ieeexplore.ieee.org/abstract/document/8946136/,2019,20,"""Optane"" ""File+System""",Yes,,,,
The preliminary evaluation of a hypervisor-based virtualization mechanism for intel optane dc persistent memory module,https://arxiv.org/abs/1907.12014,1907,19,"""Optane"" ""File+System""",No,,,,
Characterizing the performance of intel optane persistent memory: A close look at its on-dimm buffering,https://dl.acm.org/doi/abs/10.1145/3492321.3519556,2022,65,"""Optane"" ""File+System""",Yes,,,,
Scheduling hpc workflows with intel optane persistent memory,https://ieeexplore.ieee.org/abstract/document/9460699/,2021,7,"""Optane"" ""File+System""",Yes,,,,
Chameleondb: a key-value store for optane persistent memory,https://dl.acm.org/doi/abs/10.1145/3447786.3456237,2021,96,"""Optane"" ""File+System""",Yes,,,,
Ziggurat: A tiered file system for {Non-Volatile} main memories and disks,https://www.usenix.org/conference/fast19/presentation/zheng,2019,141,"""Optane"" ""File+System""",Yes,,,,
Energy consumption evaluation of optane dc persistent memory for indexing data structures,https://ieeexplore.ieee.org/abstract/document/10106332/,2022,7,"""Optane"" ""File+System""",Yes,,,,
DeNOVA: Deduplication extended nova file system,https://ieeexplore.ieee.org/abstract/document/9820647/,2022,11,"""Optane"" ""File+System""",Yes,,,,
Octopus+: An RDMA-Enabled Distributed Persistent Memory File System,https://dl.acm.org/doi/abs/10.1145/3448418,2021,283,"""Optane"" ""File+System""",Yes,,,,
An Empirical Evaluation and Analysis of Performance of Multiple Optane SSDs,https://ieeexplore.ieee.org/abstract/document/9333865/,2021,4,"""Optane"" ""File+System""",Yes,,,,
Enabling Faster NGS Analysis on Optane-based Heterogeneous Memory,http://pasalabs.org/papers/2020/SC20_NGS_poster.pdf,2020,3,"""Optane"" ""File+System""",Yes,,,,
Revisiting persistent indexing structures on Intel Optane DC persistent memory,https://link.springer.com/article/10.1007/s11390-020-9871-0,2021,8,"""Optane"" ""File+System""",Yes,,,,
Large-scale in-memory analytics on Intel® Optane™ DC persistent memory,https://dl.acm.org/doi/abs/10.1145/3399666.3399933,2020,45,"""Optane"" ""File+System""",Yes,,,,
A performance study of optane persistent memory: from storage data structures' perspective,https://link.springer.com/article/10.1007/s42514-022-00123-x,2022,6,"""Optane"" ""File+System""",Yes,,,,
Performance and protection in the ZoFS user-space NVM file system,https://dl.acm.org/doi/abs/10.1145/3341301.3359637,2019,136,"""Optane"" ""File+System""",Yes,,,,
Analyzing and Improving CPU and Energy Efficiency of PM File Systems,https://dl.acm.org/doi/abs/10.1145/3609308.3625265,2023,3,"""Optane"" ""File+System""",Yes,,,,
A read-efficient and write-optimized hash table for Intel Optane DC Persistent Memory,https://www.sciencedirect.com/science/article/pii/S0167739X24003297,2024,1,"""Optane"" ""File+System""",Yes,,,,
Power-aware Computing with Optane Persistent Memory Modules,https://ieeexplore.ieee.org/abstract/document/10196603/,2023,1,"""Optane"" ""File+System""",Yes,,,,
A survey of non-volatile main memory file systems,https://link.springer.com/article/10.1007/s11390-023-1054-3,2023,3,"""Optane"" ""File+System""",Yes,,,,
Assise: Performance and availability via client-local {NVM} in a distributed file system,https://www.usenix.org/conference/osdi20/presentation/anderson,2020,83,"""Optane"" ""File+System""",Yes,,,,
Using intel optane devices for in-situ data staging in hpc workflows,https://arxiv.org/abs/1807.09651,2018,2,"""Optane"" ""File+System""",No,,,,
[C] DISTRIBUTED INDEXING AND SEARCH IN LARGE-SCALE STORAGE SYSTEMS,,2022,0,"""Optane"" ""File+System""",Yes,,,,
NVM in Data Storage: A Post-Optane Future,https://dl.acm.org/doi/abs/10.1145/3731454,2025,0,"""Optane"" ""File+System""",Yes,,,,
Scalable persistent memory file system with {Kernel-Userspace} collaboration,https://www.usenix.org/conference/fast21/presentation/chen-youmin,2021,75,"""Optane"" ""File+System""",Yes,,,,
