Paper title,Paper link,Year of publishing,Number of citations,Keywords,Relevant for study,Duplicate,Reviewer,Applicable/Non Applicable,Reason for choosing/ not choosing the research paper
An early evaluation of Intel's optane DC persistent memory module and its impact on high-performance scientific applications,https://dl.acm.org/doi/abs/10.1145/3295500.3356159,2019,93,"""Optane"" ""High+Performance+Computing""",Yes,,,,
Performance evaluation of the intel optane dc memory with scientific benchmarks,https://ieeexplore.ieee.org/abstract/document/8946136/,2019,20,"""Optane"" ""High+Performance+Computing""",Yes,,,,
Storage Technology Current Trends-Optane and It's Future Implications,https://ieeexplore.ieee.org/abstract/document/8978386/,2019,0,"""Optane"" ""High+Performance+Computing""",Yes,,,,
Early evaluation of intel optane non-volatile memory with hpc i/o workloads,https://arxiv.org/abs/1708.02199,2017,34,"""Optane"" ""High+Performance+Computing""",No,,,,
Power-aware Computing with Optane Persistent Memory Modules,https://ieeexplore.ieee.org/abstract/document/10196603/,2023,1,"""Optane"" ""High+Performance+Computing""",Yes,,,,
Unexpected performance of Intel® Optane™ DC persistent memory,https://ieeexplore.ieee.org/abstract/document/9072482/,2020,34,"""Optane"" ""High+Performance+Computing""",Yes,,,,
Performance Analytics of Graph Algorithms Using Intel Optane DC Persistent Memory,https://search.proquest.com/openview/59840d772290d600c1b8a7f566c93e15/1?pq-origsite=gscholar&cbl=18750&diss=y,2021,0,"""Optane"" ""High+Performance+Computing""",Yes,,,,
Performance evaluation of intel optane memory for managed workloads,https://dl.acm.org/doi/abs/10.1145/3451342,2021,28,"""Optane"" ""High+Performance+Computing""",Yes,,,,
An architecture for high performance computing and data systems using byte-addressable persistent memory,https://link.springer.com/chapter/10.1007/978-3-030-34356-9_21,2019,5,"""Optane"" ""High+Performance+Computing""",Yes,,,,
Performance characterization of a dram-nvm hybrid memory architecture for hpc applications using intel optane dc persistent memory modules,https://dl.acm.org/doi/abs/10.1145/3357526.3357541,2019,81,"""Optane"" ""High+Performance+Computing""",Yes,,,,
Single machine graph analytics on massive datasets using intel optane dc persistent memory,https://arxiv.org/abs/1904.07162,2019,104,"""Optane"" ""High+Performance+Computing""",Yes,,,,
Assessing the use cases of persistent memory in high-performance scientific computing,https://ieeexplore.ieee.org/abstract/document/9652843/,2021,6,"""Optane"" ""High+Performance+Computing""",Yes,,,,
Eurolab-4-HPC long-term vision on high-performance computing,https://arxiv.org/abs/1807.04521,2018,6,"""Optane"" ""High+Performance+Computing""",No,,,,
A performance study of optane persistent memory: from storage data structures' perspective,https://link.springer.com/article/10.1007/s42514-022-00123-x,2022,6,"""Optane"" ""High+Performance+Computing""",Yes,,,,
Scheduling hpc workflows with intel optane persistent memory,https://ieeexplore.ieee.org/abstract/document/9460699/,2021,7,"""Optane"" ""High+Performance+Computing""",Yes,,,,
Scalable indexing and search in high-end computing systems,https://search.proquest.com/openview/7eafaa3272d6b6c7b1251bc31ba45337/1?pq-origsite=gscholar&cbl=18750&diss=y,2023,1,"""Optane"" ""High+Performance+Computing""",Yes,,,,
Exploring the Viability of Composable Architectures to Overcome Memory Limitations in High Performance Computing Workflows,https://dl.acm.org/doi/abs/10.1145/3626203.3670620,2024,0,"""Optane"" ""High+Performance+Computing""",Yes,,,,
Energy consumption evaluation of optane dc persistent memory for indexing data structures,https://ieeexplore.ieee.org/abstract/document/10106332/,2022,7,"""Optane"" ""High+Performance+Computing""",Yes,,,,
Exploiting intel optane persistent memory for full text search,https://dl.acm.org/doi/abs/10.1145/3459898.3463906,2021,14,"""Optane"" ""High+Performance+Computing""",Yes,,,,
Exploring performance characteristics of the optane 3d xpoint storage technology,https://dl.acm.org/doi/abs/10.1145/3372783,2020,48,"""Optane"" ""High+Performance+Computing""",Yes,,,,
A read-efficient and write-optimized hash table for Intel Optane DC Persistent Memory,https://www.sciencedirect.com/science/article/pii/S0167739X24003297,2024,1,"""Optane"" ""High+Performance+Computing""",Yes,,,,
