Paper title,Paper link,Year of publishing,Number of citations,Keywords,Relevant for study,Duplicate,Reviewer,Applicable/Non Applicable,Reason for choosing/ not choosing the research paper
A performance study of optane persistent memory: From indexing data structures' perspective,https://msstconference.org/MSST-history/2020/Papers/02.APerformanceStudyOptane.pdf,2020,3,"""Optane"" ""Index+Structure""",Yes,,,,
Exploiting intel optane persistent memory for full text search,https://dl.acm.org/doi/abs/10.1145/3459898.3463906,2021,14,"""Optane"" ""Index+Structure""",Yes,,,,
Chameleondb: a key-value store for optane persistent memory,https://dl.acm.org/doi/abs/10.1145/3447786.3456237,2021,96,"""Optane"" ""Index+Structure""",Yes,,,,
Revisiting persistent indexing structures on Intel Optane DC persistent memory,https://link.springer.com/article/10.1007/s11390-020-9871-0,2021,8,"""Optane"" ""Index+Structure""",Yes,,,,
A performance study of optane persistent memory: from storage data structures' perspective,https://link.springer.com/article/10.1007/s42514-022-00123-x,2022,6,"""Optane"" ""Index+Structure""",Yes,,,,
Evaluating persistent memory range indexes: Part two,https://dl.acm.org/doi/abs/10.14778/3551793.3551808,2022,24,"""Optane"" ""Index+Structure""",Yes,,,,
Energy consumption evaluation of optane dc persistent memory for indexing data structures,https://ieeexplore.ieee.org/abstract/document/10106332/,2022,7,"""Optane"" ""Index+Structure""",Yes,,,,
BPTree: An optimized index with batch persistence on optane DC PM,https://link.springer.com/chapter/10.1007/978-3-030-73200-4_32,2021,6,"""Optane"" ""Index+Structure""",Yes,,,,
Spmfs: A scalable persistent memory file system on optane persistent memory,https://dl.acm.org/doi/abs/10.1145/3472456.3472503,2021,10,"""Optane"" ""Index+Structure""",Yes,,,,
A read-efficient and write-optimized hash table for Intel Optane DC Persistent Memory,https://www.sciencedirect.com/science/article/pii/S0167739X24003297,2024,1,"""Optane"" ""Index+Structure""",Yes,,,,
Evaluating persistent memory range indexes,https://dl.acm.org/doi/abs/10.14778/3372716.3372728,2019,139,"""Optane"" ""Index+Structure""",Yes,,,,
Characterizing the performance of intel optane persistent memory: A close look at its on-dimm buffering,https://dl.acm.org/doi/abs/10.1145/3492321.3519556,2022,65,"""Optane"" ""Index+Structure""",Yes,,,,
TLBtree: A read/write-optimized tree index for non-volatile memory,https://ieeexplore.ieee.org/abstract/document/9458817/,2021,20,"""Optane"" ""Index+Structure""",Yes,,,,
NVM in Data Storage: A Post-Optane Future,https://dl.acm.org/doi/abs/10.1145/3731454,2025,0,"""Optane"" ""Index+Structure""",Yes,,,,
Rethinking key-value store for byte-addressable optane persistent memory,https://dl.acm.org/doi/abs/10.1145/3489517.3530535,2022,3,"""Optane"" ""Index+Structure""",Yes,,,,
"The past, present and future of indexing on persistent memory",https://dl.acm.org/doi/abs/10.14778/3554821.3554897,2022,16,"""Optane"" ""Index+Structure""",Yes,,,,
Plush: A write-optimized persistent log-structured hash-table,https://dl.acm.org/doi/abs/10.14778/3551793.3551839,2022,27,"""Optane"" ""Index+Structure""",Yes,,,,
Indexing on Non-volatile Memory,https://link.springer.com/content/pdf/10.1007/978-3-031-47627-3.pdf,2023,4,"""Optane"" ""Index+Structure""",Yes,,,,
A comprehensive empirical study of file systems on optane persistent memory,https://ieeexplore.ieee.org/abstract/document/9605448/,2021,2,"""Optane"" ""Index+Structure""",Yes,,,,
Halo: A hybrid PMem-DRAM persistent hash index with fast recovery,https://dl.acm.org/doi/abs/10.1145/3514221.3517884,2022,37,"""Optane"" ""Index+Structure""",Yes,,,,
ComboTree: A persistent indexing structure with universal operational efficiency and scalability,https://ieeexplore.ieee.org/abstract/document/9658202/,2021,3,"""Optane"" ""Index+Structure""",Yes,,,,
Evaluating Persistent Memory Range Indexes: Part Two [Extended Version],https://arxiv.org/abs/2201.13047,2022,1,"""Optane"" ""Index+Structure""",Yes,,,,
Two birds with one stone: Boosting both search and write performance for tree indices on persistent memory,https://dl.acm.org/doi/abs/10.1145/3476981,2021,15,"""Optane"" ""Index+Structure""",Yes,,,,
Writes hurt: Lessons in cache design for optane nvram,https://dl.acm.org/doi/abs/10.1145/3542929.3563461,2022,8,"""Optane"" ""Index+Structure""",Yes,,,,
How does updatable learned index perform on non-volatile main memory?,https://ieeexplore.ieee.org/abstract/document/9438717/,2021,10,"""Optane"" ""Index+Structure""",Yes,,,,
"A survey on persistent memory indexes: Recent advances, challenges and opportunities",https://www.sciencedirect.com/science/article/pii/S1383762124000778,2024,1,"""Optane"" ""Index+Structure""",Yes,,,,
Selective caching: a persistent memory approach for multi-dimensional index structures,https://link.springer.com/article/10.1007/s10619-021-07327-0,2022,7,"""Optane"" ""Index+Structure""",Yes,,,,
PerMA-bench: benchmarking persistent memory access,https://dl.acm.org/doi/abs/10.14778/3551793.3551807,2022,26,"""Optane"" ""Index+Structure""",Yes,,,,
Developing Index Structures in Persistent Memory Using Spot-on Optimizations with DRAM,https://dl.acm.org/doi/abs/10.1145/3629526.3645032,2024,0,"""Optane"" ""Index+Structure""",Yes,,,,
Nap: A {Black-Box} approach to {NUMA-Aware} persistent memory indexes,https://www.usenix.org/conference/osdi21/presentation/wang-qing,2021,51,"""Optane"" ""Index+Structure""",Yes,,,,
HATree: a hotness-aware tree index with in-node hotspot cache for NVM/DRAM-based hybrid memory architecture,https://link.springer.com/chapter/10.1007/978-3-031-00123-9_44,2022,4,"""Optane"" ""Index+Structure""",Yes,,,,
PLIN: a persistent learned index for non-volatile memory with high performance and instant recovery,https://dl.acm.org/doi/abs/10.14778/3565816.3565826,2022,36,"""Optane"" ""Index+Structure""",Yes,,,,
A quantitative evaluation of persistent memory hash indexes,https://link.springer.com/article/10.1007/s00778-023-00812-1,2024,3,"""Optane"" ""Index+Structure""",Yes,,,,
Reh: redesigning extendible hashing for commercial non-volatile memory,https://ieeexplore.ieee.org/abstract/document/9774546/,2022,3,"""Optane"" ""Index+Structure""",Yes,,,,
Hybridkv: An efficient key-value store with hybridtree index structure based on non-volatile memory,https://iopscience.iop.org/article/10.1088/1742-6596/2025/1/012093/meta,2021,3,"""Optane"" ""Index+Structure""",Yes,,,,
Understanding the performance of persistent memory range indexes,https://summit.sfu.ca/_flysystem/fedora/2023-03/etd22342.pdf,2023,0,"""Optane"" ""Index+Structure""",Yes,,,,
