Paper title,Paper link,Year of publishing,Number of citations,Keywords,Relevant for study,Duplicate,Reviewer,Applicable/Non Applicable,Reason for choosing/ not choosing the research paper
Storage Technology Current Trends-Optane and It's Future Implications,https://ieeexplore.ieee.org/abstract/document/8978386/,2019,0,"""Optane"" ""Storage+Engine""",Yes,,,,
Exploiting intel optane persistent memory for full text search,https://dl.acm.org/doi/abs/10.1145/3459898.3463906,2021,14,"""Optane"" ""Storage+Engine""",Yes,,,,
NVM in Data Storage: A Post-Optane Future,https://dl.acm.org/doi/abs/10.1145/3731454,2025,0,"""Optane"" ""Storage+Engine""",Yes,,,,
TEngine: A Native Distributed Table Storage Engine,https://ieeexplore.ieee.org/abstract/document/10597698/,2024,2,"""Optane"" ""Storage+Engine""",Yes,,,,
Extending Memory Capacity in Modern Consumer Systems With Emerging Non-Volatile Memory: Experimental Analysis and Characterization Using the Intel Optane …,https://ieeexplore.ieee.org/abstract/document/10258271/,2023,2,"""Optane"" ""Storage+Engine""",Yes,,,,
A performance study of optane persistent memory: from storage data structures' perspective,https://link.springer.com/article/10.1007/s42514-022-00123-x,2022,6,"""Optane"" ""Storage+Engine""",Yes,,,,
Exploring performance characteristics of the optane 3d xpoint storage technology,https://dl.acm.org/doi/abs/10.1145/3372783,2020,48,"""Optane"" ""Storage+Engine""",Yes,,,,
Writes hurt: Lessons in cache design for optane nvram,https://dl.acm.org/doi/abs/10.1145/3542929.3563461,2022,8,"""Optane"" ""Storage+Engine""",Yes,,,,
Basic performance measurements of the intel optane DC persistent memory module,https://arxiv.org/abs/1903.05714,2019,627,"""Optane"" ""Storage+Engine""",Yes,,,,
Analyzing and improving the scalability of in-memory indices for managed search engines,https://dl.acm.org/doi/abs/10.1145/3591195.3595272,2023,5,"""Optane"" ""Storage+Engine""",Yes,,,,
Flatstore: An efficient log-structured key-value storage engine for persistent memory,https://dl.acm.org/doi/abs/10.1145/3373376.3378515,2020,195,"""Optane"" ""Storage+Engine""",Yes,,,,
"Object Storage, Persistent Memory, and Data Infrastructure for HPC Materials Informatics",https://arxiv.org/abs/2210.07929,2022,0,"""Optane"" ""Storage+Engine""",Yes,,,,
"What modern nvme storage can do, and how to exploit it: High-performance I/O for high-performance storage engines",https://dl.acm.org/doi/abs/10.14778/3598581.3598584,2023,45,"""Optane"" ""Storage+Engine""",Yes,,,,
"Optimizing data access with next-generation storage engine, persistent memory and smart NICs",https://ieee-hpec.org/Proceedings/Xplore/Papers%20for%20HPEC%20site%20only/KenCainHPEC2020.pdf,2020,2,"""Optane"" ""Storage+Engine""",Yes,,,,
Hiengine: How to architect a cloud-native memory-optimized database engine,https://dl.acm.org/doi/abs/10.1145/3514221.3526043,2022,11,"""Optane"" ""Storage+Engine""",Yes,,,,
Revisiting the design of LSM-tree based OLTP storage engine with persistent memory,https://dl.acm.org/doi/abs/10.14778/3467861.3467875,2021,33,"""Optane"" ""Storage+Engine""",Yes,,,,
Single machine graph analytics on massive datasets using intel optane dc persistent memory,https://arxiv.org/abs/1904.07162,2019,104,"""Optane"" ""Storage+Engine""",Yes,,,,
On the performance intricacies of persistent memory aware storage engines,https://ieeexplore.ieee.org/abstract/document/10091894/,2023,2,"""Optane"" ""Storage+Engine""",Yes,,,,
Performance benefits of Intel® Optane™ DC persistent memory for the parallel processing of large neuroimaging data,https://ieeexplore.ieee.org/abstract/document/9139615/,2020,3,"""Optane"" ""Storage+Engine""",Yes,,,,
"Rethinking logging, checkpoints, and recovery for high-performance storage engines",https://dl.acm.org/doi/abs/10.1145/3318464.3389716,2020,53,"""Optane"" ""Storage+Engine""",Yes,,,,
Supplementing a Modern Storage Engine with Non-volatile Memory,https://wwwiti.cs.uni-magdeburg.de/iti_db/publikationen/ps/auto/thesisKarim23.pdf,2022,0,"""Optane"" ""Storage+Engine""",Yes,,,,
Designing a persistent-memory-native storage engine for SQL database systems,https://ieeexplore.ieee.org/abstract/document/9628842/,2021,1,"""Optane"" ""Storage+Engine""",Yes,,,,
An Efficient Bucket Logging for Persistent Memory,https://link.springer.com/chapter/10.1007/978-3-030-85896-4_13,2021,0,"""Optane"" ""Storage+Engine""",Yes,,,,
Integrating a Smart Storage Engine into a Database System,https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/627505/1/Zorca_Mihai.pdf,2023,0,"""Optane"" ""Storage+Engine""",Yes,,,,
LeanStore: A High-Performance Storage Engine for NVMe SSDs,https://dl.acm.org/doi/abs/10.14778/3685800.3685915,2024,2,"""Optane"" ""Storage+Engine""",Yes,,,,
An architecture of MySQL storage engines to increase the resource utilization,https://ieeexplore.ieee.org/abstract/document/9900616/,2022,17,"""Optane"" ""Storage+Engine""",Yes,,,,
